Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Owner ID,Performance Grade,Letter Grade
Raheem Mostert,RB,Pleasant Valley Panthers,0.0,0.0,267.7,17.85,15,{8DC6CB03-411B-4540-86CB-03411B854029},93.47,A
Puka Nacua,WR,Inter Miami CF,0.0,0.0,298.5,17.56,17,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},93.34,A
Browns D/ST,D/ST,Wut happened uh 🤷🏽‍♂️,0.0,0.0,166.0,9.76,17,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},93.28,A
Kyren Williams,RB,The Hungry Dogs,0.0,0.0,255.0,21.25,12,{4656A2AD-A939-460B-96A2-ADA939760B8B},91.23,A-
Sam LaPorta,TE,Abyss Diamond Eyes,0.0,0.0,239.3,14.08,17,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A},90.99,A-
Brandon Aubrey,K,Pleasant Valley Panthers,131.9,7.76,180.0,10.59,17,{8DC6CB03-411B-4540-86CB-03411B854029},90.55,A-
Nico Collins,WR,Pleasant Valley Panthers,0.0,0.0,260.4,17.36,15,{8DC6CB03-411B-4540-86CB-03411B854029},87.05,B+
Brock Purdy,QB,Wut happened uh 🤷🏽‍♂️,0.0,0.0,295.6,18.48,16,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},83.8,B
Chiefs D/ST,D/ST,Pleasant Valley Panthers,0.0,0.0,140.0,8.24,17,{8DC6CB03-411B-4540-86CB-03411B854029},83.54,B
Jerome Ford,RB,Inter Miami CF,0.0,0.0,211.2,12.42,17,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},83.48,B
Dolphins D/ST,D/ST,Bryson Stott Fan Club,0.0,0.0,139.0,8.18,17,{10F78273-9201-4EE8-B782-739201DEE809},83.17,B
Jared Goff,QB,The Hungry Dogs,0.0,0.0,289.1,17.01,17,{4656A2AD-A939-460B-96A2-ADA939760B8B},83.01,B
Adam Thielen,WR,Inter Miami CF,0.0,0.0,231.0,13.59,17,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},82.19,B-
Cairo Santos,K,THE POOL,139.29,8.19,155.0,9.12,17,{E7893FEC-BC37-48CB-9509-34C663E71ADC},82.04,B-
C.J. Stroud,QB,Pleasant Valley Panthers,0.0,0.0,276.02,18.4,15,{8DC6CB03-411B-4540-86CB-03411B854029},81.43,B-
Baker Mayfield,QB,Bryson Stott Fan Club,0.0,0.0,274.06,16.12,17,{10F78273-9201-4EE8-B782-739201DEE809},81.2,B-
Jaylen Warren,RB,Pleasant Valley Panthers,0.0,0.0,196.4,11.55,17,{8DC6CB03-411B-4540-86CB-03411B854029},80.86,B-
Jakobi Meyers,WR,THE POOL,0.0,0.0,218.58,13.66,16,{E7893FEC-BC37-48CB-9509-34C663E71ADC},80.13,B-
De'Von Achane,RB,Inter Miami CF,0.0,0.0,190.7,17.34,11,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},79.86,C+
Gus Edwards,RB,Inter Miami CF,0.0,0.0,187.0,11.0,17,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},79.2,C+
Sam Howell,QB,THE POOL,0.0,0.0,257.54,15.15,17,{E7893FEC-BC37-48CB-9509-34C663E71ADC},79.2,C+
Rashee Rice,WR,Bryson Stott Fan Club,0.0,0.0,212.5,13.28,16,{10F78273-9201-4EE8-B782-739201DEE809},79.13,C+
Russell Wilson,QB,Inter Miami CF,0.0,0.0,256.9,17.13,15,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},79.12,C+
Dustin Hopkins,K,Inter Miami CF,136.5,8.03,146.0,9.73,15,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},78.97,C+
Chuba Hubbard,RB,Wut happened uh 🤷🏽‍♂️,0.0,0.0,182.5,10.74,17,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},78.41,C+
Trey McBride,TE,The Hungry Dogs,70.57,4.7,181.5,10.68,17,{4656A2AD-A939-460B-96A2-ADA939760B8B},76.47,C
Zack Moss,RB,THE POOL,0.0,0.0,169.6,12.11,14,{E7893FEC-BC37-48CB-9509-34C663E71ADC},76.12,C
Devin Singletary,RB,Abyss Diamond Eyes,0.0,0.0,167.34,9.84,17,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A},75.72,C
Jake Ferguson,TE,Wut happened uh 🤷🏽‍♂️,0.0,0.0,177.1,10.42,17,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},75.36,C
Tyjae Spears,RB,Bryson Stott Fan Club,0.0,0.0,153.8,9.05,17,{10F78273-9201-4EE8-B782-739201DEE809},73.33,C
Jake Moody,K,Wut happened uh 🤷🏽‍♂️,0.0,0.0,127.0,7.47,17,{33129857-4E92-4DF2-BA53-0AA5B27FA2F5},72.5,C-
Dalton Kincaid,TE,The Hungry Dogs,0.0,0.0,150.3,9.39,16,{4656A2AD-A939-460B-96A2-ADA939760B8B},68.63,D+
Kyler Murray,QB,Abyss Diamond Eyes,0.0,0.0,146.36,18.3,8,{9AE3AD76-F6D3-4C3E-B0CB-3A5B9E1C501A},65.78,D
Ty Chandler,RB,THE POOL,0.0,0.0,101.0,5.94,17,{E7893FEC-BC37-48CB-9509-34C663E71ADC},63.99,D
Joshua Palmer,WR,THE POOL,0.0,0.0,106.7,9.7,11,{E7893FEC-BC37-48CB-9509-34C663E71ADC},61.64,D-
Noah Brown,WR,Inter Miami CF,0.0,0.0,101.6,10.16,10,{A34A1D3B-AB7E-49E5-8A1D-3BAB7E89E546},60.79,D-
